iter	Passed	Remaining
0	0	948
1	1	810
2	2	754
3	2	731
4	3	716
5	4	707
6	4	701
7	5	694
8	6	688
9	6	680
10	7	676
11	8	671
12	8	670
13	9	671
14	10	668
15	10	666
16	12	740
17	13	755
18	15	817
19	16	822
20	17	818
21	18	810
22	18	801
23	19	794
24	20	786
25	20	779
26	21	771
27	22	764
28	22	759
29	23	753
30	23	747
31	24	741
32	25	739
33	25	736
34	26	744
35	28	772
36	29	778
37	30	775
38	31	770
39	31	767
40	32	766
41	33	763
42	34	760
43	35	761
44	35	758
45	36	756
46	37	754
47	37	751
48	38	748
49	39	746
50	39	743
51	40	741
52	41	743
53	42	751
54	44	763
55	45	765
56	46	763
57	46	760
58	47	759
59	48	757
60	49	757
61	49	754
62	50	751
63	51	750
64	51	747
65	52	745
66	53	743
67	54	740
68	54	738
69	55	735
70	55	732
71	56	733
72	59	751
73	60	751
74	60	749
75	61	748
76	62	745
77	62	743
78	63	740
79	64	738
80	64	736
81	65	733
82	65	728
83	66	726
84	67	724
85	67	722
86	68	720
87	69	718
88	70	716
89	70	714
90	71	713
91	74	732
92	75	733
93	76	733
94	76	730
95	77	728
96	77	724
97	78	721
98	78	718
99	79	716
100	80	713
101	80	710
102	81	708
103	81	705
104	82	702
105	83	700
106	83	698
107	84	695
108	84	693
109	85	691
110	86	689
111	86	688
112	87	689
113	88	687
114	89	686
115	89	684
116	90	680
117	90	678
118	91	676
119	91	674
120	92	672
121	93	669
122	93	667
123	94	665
124	94	663
125	95	662
126	95	659
127	96	657
128	97	656
129	97	654
130	98	652
131	98	650
132	99	649
133	100	647
134	100	645
135	101	644
136	102	644
137	103	643
138	103	642
139	104	642
140	105	642
141	105	639
142	106	638
143	107	637
144	107	636
145	108	634
146	109	633
147	109	631
148	110	630
149	110	628
150	111	627
151	112	626
152	112	624
153	113	623
154	114	621
155	114	620
156	115	618
157	115	617
158	116	616
159	117	617
160	118	615
161	118	614
162	119	614
163	120	613
164	120	612
165	121	610
166	122	609
167	122	608
168	123	606
169	124	605
